Date,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10
2019-04-20,Saudi sisters seeking asylum in Republic of Georgia go public in plea for help,Two teenagers arrested in the killing of journalist Lyra McKee,"He was wrongfully jailed for more than a decade. Years later, he died in a hit-and-run",Rafael Nadal suffers shock defeat to Fabio Fognini,Man City return to top of Premier League with victory over Tottenham,"Notre Dame fire started at the center of the cathedral's roof, says police source",What a comedy TV series tells us about Ukraine and its high-stakes presidential race,,,
2019-04-21,Eiffel Tower goes dark to honor Sri Lanka attack victims,Political newcomer Volodymyr Zelensky celebrates victory in Ukraine's presidential elections,Volodymyr Zelensky played Ukraine's president on TV. Now it's a reality,A tragic Holy Week culminates in an Easter Sunday horror,Ukrainians vote in presidential elections with comedian on track for triumph,,,,,
2019-04-22,His Royal Cuteness: New photos released as Prince Louis turns 1,Harry and Meghan could 'move to Africa' after birth of royal baby,PSG crowned Ligue 1 champions as club pays tribute to Notre Dame,Juventus crowned Serie A champions as Cristiano Ronaldo makes history,British aid worker killed by gunmen at a holiday resort in Nigeria,Liverpool regain top spot in the Premier League with win over Cardiff,,,,
2019-04-23,"In the Mediterranean, US aircraft carrier operations serve as floating American diplomacy","Putin and Kim Jong Un will meet in Russia on Thursday, says state news",Is social media making this generation of sports stars the 'loneliest' ever?,Man Utd vs. Man City: Mancunian derby could decide Premier League race,Austrian politician resigns after publishing 'deeply racist' poem comparing migrants to rats,Journalist's murder is a wake-up call the UK can't ignore,Kash Ali: Boxer given six-month ban for biting David Price,What Zelensky's win will mean for Ukraine's relations with Russia,29-year-old journalist Lyra McKee shot dead in Northern Ireland violence,
2019-04-24,Manchester City returns to top of EPL table with derby win,Greta Thunberg meets the Pope after scolding EU leaders on climate change,The former sportscaster accusing NBA coach Luke Walton of sexual assault says she was scared to tell her story,Lyra McKee's funeral unites political leaders and aims to heal Northern Irish divisions,"Lazio fans hang pro-Mussolini banner, make fascist salutes ahead of Liberation day",Shane Long makes history with fastest ever Premier League goal,Billy McNeill: Celtic legend and European Cup winning captain dies aged 79,How horses became 'therapy' for woman struggling with mental health,South Africa's top surf skier on finding peace off the podium,A visit from Donald Trump is the last thing the UK needs right now
2019-04-25,France 2019: What you need to know about the Women's World Cup,Macron pledges tax cuts in effort to assuage Yellow Vests,The NBA and Sacramento Kings will investigate sexual assault allegations against coach Luke Walton,'I'm so grateful': Footballer's heartfelt message after missing son is found,Mo Farah and Haile Gebrselassie row over alleged robbery in Ethiopia,Tiemoue Bakayoko: AC Milan player subjected to racist abuse by Lazio fans,Putin offers Russian citizenship to Ukrainians in separatist-held areas,Climate protesters block access to London Stock Exchange,NFL draft 2019: Will the Cardinals unite Kyler Murray with Kliff Kingsbury?,
2019-04-26,British girl sends €3 to Notre Dame appeal,Mohamed Salah on target as Liverpool thrash Huddersfield,Neymar given three-match ban for Instagram rant,Tiger Woods seals fifth Masters title and 15th major,Emiliano Sala's father dies of heart attack three months after son's death,Global Champions Tour Miami: The secrets behind show jumping's gem,Jaguar hopes to capitalize on historic victory with Formula E title,Spain prepares for general election amid increasing political instability,The world's oceans are becoming stormier -- and that's bad news for coastal communities,Azerbaijan GP: F1 car damaged after driving over dislodged manhole cover
2019-04-27,Lionel Messi inspires Barcelona to La Liga title with 3 games to spare,Dabo Swinney agrees to $93-million contract to stay at Clemson,Action-packed Paris ePrix sees multiple crashes as Frijns makes history,NFL's Tyreek Hill pulled from team activities after audio reveals purported discussion of alleged child abuse,"Racism in football: 'Worst thing you can do is leave the pitch,' says Mido",Spain's far-right is back -- with a difference,Putin seems to pop up wherever there is a political vacuum in the world,,,
2019-04-28,Anger as UK police ask rape victims for access to phones and social media,Chiefs owner says Tyreek Hill is not with the team for the 'foreseeable future' but a final decision hasn't been made,Manchester City returns to top of EPL after narrow win against Burnley,Valtteri Bottas claims Azerbaijan GP as Mercedes continues to dominate,Meghan and Harry 'planning Africa tour' with royal baby,Eliud Kipchoge wins a record fourth London Marathon,Trieste half-marathon organizers spark outrage after banning African runners,Spanish elections show where the UK may be headed,,
2019-04-29,"Pita Taufatofua, known as the shirtless Tongan, is aiming for his 3rd Olympics in 2020 -- this time in 2 sports",Royal baby announcement: What to expect when,Winnie the Pooh's real-life Hundred Acre Wood hit by forest fire,Marcelo Bielsa: From spying scandal to earning plaudits for sportsmanship,"From Israel to the Promised Land: The 6,000-mile trek to see sporting history","Josef Sural: Czech footballer dies in bus crash, club confirms",Spain's Socialists win election as far-right enters parliament for first time since Franco,"Van Dijk, Miedema pull off Dutch double in PFA awards",,
2019-04-30,Advantage Ajax as Dutch side earn narrow first-leg win over Tottenham,Celebrities criticize proposed boycott of Eurovision over Israeli-Palestinian conflict,French courts have handed down 447 fines in the past 8 months under a new law punishing harassment of women,Tim Howard: 'I hope Liverpool never win a title while I'm still breathing',A firefighter ran 18 miles on a broken foot in the London Marathon,Erdogan loses control of Turkish capital in local elections setback,Supercharged heads to Paris: Show times of latest episode,Tennis star Sloane Stephens said 'forever yes' to soccer player Jozy Altidore,Wimbledon prize money boosted to $3.06 million for winners,How Ajax young guns upset Champions League rich boys
2019-05-01,UK Parliament declares 'climate emergency',"Assange's health seemed to be 'deteriorating rapidly' before arrest, says friend",Putin signs law to create an independent Russian internet,UK Defense Secretary Gavin Williamson fired over Huawei leak,Porto goalkeeper Iker Casillas suffers heart attack,Jeremy Corbyn under fire for foreword in 'anti-Semitic' book,Caster Semenya ruling redefines what it means to be female in sport,French police fire tear gas at Paris May Day protesters,Julian Assange gets almost a year in UK prison for skipping bail,"Mo Salah: I am ""absolutely"" not a diver"
2019-05-02,Meghan and Harry are bucking the tradition of royal baby photo calls. Here's why,Lamar Odom is making his return to basketball in the BIG3,"Caster Semenya ran on 'unfair platform,' says ex-Olympian Sharron Davies",A Holocaust diary is reborn on Instagram,Two young women asked an anti-LGBT politician to take a picture with them -- then photobombed him with a kiss,Julian Assange starts extradition fight from UK prison,"Yowza! Scrabble adds bae, fleek, mansplain and thousands more words to dictionary",'It was a no brainer': Bubba Watson on using CBD products in golf,Global Champions Tour set for shake-up in Shanghai,"UK should slash emissions to net zero by 2050, say climate change advisers"
2019-05-03,Caster Semenya wins 800-meter race ahead of new testosterone rules,The NBA is firing its Turkish Twitter account vendor after it omitted Enes Kanter,Valencia fans condemned after video shows Nazi salutes and monkey gestures aimed at Arsenal supporters,Kentucky Derby leads this weekend's biggest sports events. But don't miss the NBA playoffs and UFC Fight Night,"Prince Harry cuts back foreign trip, putting royal baby watchers on alert",Estonian interior minister calls first female president 'emotionally upset woman',Daniel Jacobs faces the fight of his career against Canelo Alvarez,The Kentucky Derby: five reasons why you shouldn't miss it,New Zealand Prime Minister Jacinda Ardern is engaged to Clarke Gayford,Man thanks 49ers rookie Dre Greenlaw for saving his daughter in 2015
2019-05-04,"Kentucky Derby 'wide open,' says champion trainer Bob Baffert",'We all have Hoop Dreams': Bittersweet tale of first 'reality TV show','Russian spy' whale shines spotlight on military-grade animals,,,,,,,
2019-05-05,"Belfast City Marathon course was too long, organizers say",US man arrested over murder of shopkeeper in Italy,Manchester United's Champions League hopes ruined by Huddersfield draw,Mo Salah 'OK' after being stretchered off with head injury,"1,000 Guineas: Hermosa wins to give trainer Aidan O'Brien a weekend double","'Genius' Aidan O'Brien secures 10th 2,000 Guineas as Magna Grecia wins",Liverpool returns to the top of the Premier League with late winner,'Let's do a deal': Theresa May appeals for cross-party Brexit plan,Country House wins Kentucky Derby after historic disqualification of Maximum Security,Brexit disaster is making Britain a weird place to live in
2019-05-06,Belfast mural memorializes journalist Lyra McKee,Nurse denied marathon world record -- because she wasn't wearing a skirt,Mary Poppins meets James Bond: Will Meghan and Harry hire a Norland nanny for the royal baby?,Jadon Sancho ranked as European football's most expensive youngster,Meghan royal baby betting suspended as speculation grows,Goldstein soars to win in Shanghai leg of Global Champions Tour,Mo Salah ruled out of Liverpool's Champions League clash against Barcelona,Eliud Kipchoge targets 'super human' marathon time to beat two-hour barrier,Flea invasion forces shutdown of Paris police station,Moscow airport plane fire: At least 41 people killed in Aeroflot crash landing
2019-05-07,Kentucky Derby winner Country House will not run in Preakness,Pamela Anderson visits Julian Assange in prison,Kaito Toba: Japan's rising star could be its two-wheeled savior,Viggo Mortensen blasts Spanish far-right over 'Lord of the Rings' tweet,Kentucky Derby: Country House 'leaning toward' Triple Crown shot,Joao Felix: The Benfica teen who is a 'star already',Iker Casillas: Goalkeeper unsure over future after heart attack,Mayor claims TV show 'Gomorrah' causes immediate rises in violent crime,Kentucky Derby controversy swirls as President Trump weighs in and owner plans appeal,Israel Folau guilty of code of conduct breach following homophobic post
2019-05-08,Liverpool stuns Barcelona with unlikeliest of comebacks to reach Champions League final,A bisexual navy veteran who was stripped of his medal and badges is suing to get them back,Nigerian singer loses one million naira wager as Liverpool defeats Barcelona,Chelsea's two-window transfer ban upheld by Fifa,Israel Folau dropped by sponsor Asics following homophobic post,Roger Federer kicks off clay-court comeback,Liverpool stun Barcelona: Where does Champions League 'classic' rank in competition's great games?,Australia is being devastated by climate change. So will it swing the election?,,
2019-05-09,Arsenal to face Chelsea in all-English Europa League final,Alleged Russian agents convicted for masterminding coup plot in Europe,Pope issues new rules mandating the reporting of sexual abuse to Church authorities,"When Notre Dame burned, it left high levels of lead around the cathedral. Police say it's not a threat",New dad Prince Harry travels to The Hague days after Meghan gives birth,The epic upsets at the Champions' League hit home for anyone who's ever felt the agony of defeat,David Beckham banned from driving for using cell phone,'I am somebody': How cricket is helping give street children a voice,Liverpool defy the odds against Barcelona with help from a 'special' Anfield,Guinness World Records backs down on nurse's London Marathon costume
2019-05-10,All eyes are on the Premier League this weekend. But don't forget the NBA playoffs and an '80s inspired NHL team,"London Mayor: Trump isn't in the ""same class"" as Obama and Bush","Forget A to B, electric cars can now get you from London to Paris",NBA Commissioner Adam Silver wants more women as referees and coaches,England was already divided. Brexit is only making it worse,A teen with big feet couldn't afford size 18 sneakers. So Shaq bought him 10 pairs,PSG to appeal Neymar ban after star is punished for fan confrontation,Chicago Cubs ban a fan who was seen making a white power gesture behind a black reporter,"Roger Federer clinches 1,200th career win at Madrid Open","Formula E: Can Monaco magic a ninth different winner in ""fantastic"" season?"
2019-05-11,Is this the greatest Champions League season of all time?,Jean-Eric Vergne wins Monaco E-Prix as Felipe Massa secures first Formula E podium,'I want a full life': Anthony Joshua reveals his biggest fear and future ambitions,'It's not their fault': German families plead for return of stranded ISIS children,"Australia's new foreign minister could be a gay, Asian woman",,,,,
2019-05-12,Liverpool beats Wolves on day that saw hope replaced by agony,Lewis Hamilton wins Spanish Grand Prix in fifth straight Mercedes one-two,Europe's populist nightmare won't end with Brexit,"Pua Magasiva, 'Power Rangers' actor, dies aged 38","'Bruised, battered, but elated': Saracens defeat Leinster to win third European title",Silver King dies during London wrestling fight,Meghan and Harry's baby Archie won't cure racism in UK -- but marks progress,,,
2019-05-13,Charges dropped against UFC star Conor McGregor in cell phone incident,A copy of D.H. Lawrence's 'Lady Chatterley's Lover' has been barred from leaving the UK,Maximum Security jockey Luis Saez suspended 15 days,Microscopic remains of Nazi execution victims finally buried,Proud dad Mo Salah looks on as daughter enjoys goal at Anfield,Ireland bans US anti-gay preacher Steven Anderson,Australian islanders file landmark climate change complaint against government,Sweden re-opens Julian Assange rape investigation,Girls' soccer team goes undefeated winning their league - which they played entirely against only boys' teams,Israel Folau likens dispute with Rugby Australia to 'the way Satan works'
2019-05-14,"In Sochi, red lines remain between US and Russia",Theresa May will put her Brexit deal to a vote—for the fourth time,Danish politician: 'Yes it's me on Pornhub',Manchester City braced for possible ban from $1.5 billion Champions League,Death count in crossbow case rises as two more bodies found in Germany,Group ranks best and worst countries in Europe for LGBTI rights,Max Verstappen gets home GP as Formula One heads to Zandvoort,NBA draft lottery: Zion Williamson in high demand,Born to ride: Jessica Springsteen on her love for equestrianism,
2019-05-15,Welcome to the last days of Theresa May,McIlroy 'excited' to play for Ireland at Tokyo 2020 Olympics,Manchester City defends 'classless' anti-Liverpool song amid criticism,Ryanair boss Michael O'Leary to quit horse racing over five years,Tiger Woods launches quest for 16th major in US PGA at Bethpage Black,Longines Global Champions Tour: Local hero lusts after Spanish gold,"Eden Hazard: 'We want him to stay,' says Chelsea star Ruben Loftus-Cheek","NCAA to consider allowing athletes to profit from names, image and likeness",New Orleans Pelicans win the NBA draft lottery -- and likely the Zion Williamson sweepstakes,Antoine Griezmann announces departure to open door to $139m Barcelona move
2019-05-16,Usain Bolt: From Olympic sprinter to business co-founder,Boris Johnson wants to replace Theresa May as UK Prime Minister,"For the first time in nearly 70 years, none of the top Kentucky Derby finishers will race in the Preakness",Prince Harry accepts 'substantial' damages after helicopter photos forced royal couple from their home,Greek journalist's car targeted in reported bomb attack,Sex vouchers for migrants? The truth behind Europe's fake stories,German nurse who killed up to 100 patients faces another life sentence,Nick Kyrgios throws chair during Italian Open meltdown,Instability spreading in West Antarctic ice sheet,ETA former leader Josu Ternera arrested after 16 years on the run
2019-05-17,Brooks Koepka charges clear as Tiger Woods misses cut at US PGA,Preakness Stakes 2019: Anticipation builds after Kentucky Derby drama,"The PGA crowns a new champion this weekend. But sports fans will find action at the Preakness Stakes, too",Meghan and Harry's baby Archie was born at London's Portland Hospital,French doctor investigated in 24 cases of poisoning during surgery; 9 patients died,"Kevin Durant's calf injury 'more serious than we thought,' Warriors coach says",Roger Federer and Naomi Osaka withdraw from Italian Open,Neo-Nazi who plotted to kill politician with sword gets life in jail,Massimiliano Allegri to leave Juventus,Brexit talks collapse after Theresa May and Labour Party fail to reach deal
2019-05-18,Iceland's Eurovision entry Hatari holds up Palestinian flag during contest,Lyon romps to sixth Women's Champions League title as Ada Hegerberg nets hat-trick,Manchester City makes history with victory in FA Cup final,Donald Trump has golf scores hacked on handicap account,Bayern Munich crowned Bundesliga champion as Robben and Ribery bid farewell,Prince William says he felt 'pain like no other' after Diana's death,Three things we learned from royal baby Archie's birth certificate,Eurovision: What is it and what time is it on?,"In Australia, sausages have become a symbol of election day. Here's why",
2019-05-19,"Salvini says he wants pre-Maastricht EU rules, ahead of far-right rally",Rafael Nadal beats Novak Djokovic to win ninth Rome Masters,"Brexit mess is about to get much, much worse",Police stop McDonald's from selling milkshakes near Nigel Farage rally,Vincent Kompany to leave Manchester City,"Austria to hold snap elections in September, says Chancellor Kurz",Anthony Joshua on combating racism: 'Our parents' generation has been sleeping',Harry and Meghan share behind-the-scenes pictures of wedding,Eurovision: Madonna mixes politics with a classic hit during performance,Tommy Robinson far-right rally turns violent
2019-05-20,Man caught climbing the Eiffel Tower,Austrian Chancellor moves to dismiss interior minister amid corruption scandal,Young sperm whale found dead in Sicily with stomach full of plastic,Prince Charles agrees to meet Trump during controversial state visit,Austria's Chancellor Kurz calls for early elections after vice chancellor resigns over alleged corruption video,"A couple heard buzzing in their bedroom; the culprits turned out to be 80,000 bees",Bodexpress ran the entire Preakness without his jockey,Prince William and Duchess Catherine just released some adorable new family photos,It takes at least 4 years to apply for divorce in Ireland. Friday's vote is another test of the nation's values,"'Double digits, easy:' Brooks Koepka sets new major target after fourth title"
2019-05-21,Niki Lauda: Three-time Formula One champion dead at 70,Arsenal omits Henrikh Mkhitaryan from Europa League final amid safety concerns,"Return a quarter of UK to nature to fight climate change, say environmentalists",Austria's Sebastian Kurz to face no-confidence vote as far-right ministers quit,International football's concussion protocols 'are the worst in the world',My way or the highway: Niki Lauda's Formula One creed,"Europe will 'die from inside' if far-right populists triumph, top EU figure says",,,
2019-05-22,Andrea Leadsom quits UK government in fresh Brexit blow for Theresa May,FIFA decides not to add 16 teams for 2022 World Cup finals,Juncker lashes out at 'stupid nationalists' on eve of European elections,Right-wing British politicians are having milkshakes thrown over them. Here's why,Theresa May faces growing calls to quit amid renewed Brexit revolt,Raheem Sterling on racist abuse: 'This is more than just about football',Everything you need to know about the European elections,Queen learns how to use self-service checkout,What does the European Parliament actually do? One clue lies in your phone bill,The final straw: England bans plastic items from April 2020
2019-05-23,EU citizens in the UK say they've been denied the right to vote,World Rugby goes to Japan: Show times of latest episode,World's first virtual sports anchor to debut at ice hockey world champs,Julie Ertz: Winning the World Cup and being part of sport's 'power couple',FIFA Secretary General: Players should 'step out of the field' if racially abused,"Judith Kerr, author of 'The Tiger Who Came to Tea,' dies",European elections are a pivotal moment for voters to choose between unity and disruption,,,
2019-05-24,Prince Harry to join Trump and Queen for private lunch during state visit,"Memorial Day weekend is loaded with motorsports, the NBA playoffs, the Stanley Cup Final and the French Open",Boris Johnson is frontrunner for PM but he'll face the same Brexit nightmare,"Nico Rosberg: 'When Mercedes come, they come to win'",Theresa May to resign as UK Prime Minister,Brexit failure forces British Prime Minister Theresa May to announce resignation,"Populists fare badly in Dutch EU elections, exit poll shows",PSG president Nasser Al-Khelaifi charged with corruption,102-year-old woman suspected of killing 92-year-old care home neighbor,Gianluigi Buffon eyes up management role after retirement
2019-05-25,Lucas Di Grassi dominates Berlin E-Prix to move into championship contention,Police launch manhunt for suspect in Lyon bomb blast,"Explosion in Lyon, France, prompts terror investigation",,,,,,,
2019-05-26,"More than two decades after a woman was killed in an Irish village, French prosecutors hope to close the case",Art Briles to coach high school football 3 years after he was fired over Baylor sexual assault scandal,London Sevens: Fiji produce masterclass to power to victory,French Open 2019: Roger Federer makes winning return,A legacy of failure: Theresa May was a disaster as Prime Minister,European elections results 2019,Lewis Hamilton dedicates Monaco Grand Prix victory to hero Niki Lauda,Leonardo DiCaprio and Orlando Bloom attend Formula E film premiere,Pope likens abortion to 'hiring a hitman' at anti-abortion conference,Ireland to liberalize divorce laws following referendum
2019-05-27,Austrian Chancellor Sebastian Kurz loses confidence vote,Europe's old guard is punished by voters demanding change,8 key takeaways from the European election 2019 results,Aston Villa defeats Derby County to win lucrative Premier League spot in front of ecstatic Prince William,The world's most lucrative match is worth at least $215 million,"German newspaper prints cut-out kippah, urging readers to wear it in solidarity with Jews",German Jews warned not to wear kippahs in public following spike in anti-Semitism,This Stanley Cup Final rematch between the Boston Bruins and St. Louis Blues is 49 years in the making,'We can live or we can die': How cricket redefined a war-torn nation,"Manchester City: Rivals are 'jealous,' says chairman Khaldoon Al Mubarak"
2019-05-28,World No.1 Naomi Osaka escapes after French Open scare,Court papers reveal how a jailed banker's wife spent $20 million at Harrods,Spanish footballers arrested in match-fixing probe,100-year-old German woman elected to local council,Neymar stripped of Brazil captaincy for Copa America,Serena Williams rallies after French Open first-round scare,'Give and take': Jessica Springsteen on the secrets of her success,NFL star J.J. Watt announces engagement to soccer player Kealia Ohai,,
2019-05-29,"Boris Johnson, favorite to be Britain's next PM, to face court for alleged Brexit lies","Roger Federer, Rafael Nadal win at French Open as rivals bank memories",There are raccoon dogs on the loose in an English village,Australia swears in its first aboriginal minister,Angela Merkel warns against dark forces on the rise in Europe,Former Belgian king submits DNA sample in paternity case,"Europa League final: Chelsea and Arsenal to play their season's biggest game 4,000km away from home",A cameraman gets an unintentional close up of a wayward opening pitch,Women's World Cup: 'Football is life' -- Nigeria's plan to become a force in women's football,Niki Lauda: Lewis Hamilton and Arnold Schwarzenegger among stars at Austrian's funeral
2019-05-30,Russian company offers female employees money to wear skirts,"Naomi Osaka rallies again at French Open, this time against Azarenka",Austria names its first female chancellor,Epsom Derby 2019: Aidan O'Brien saddles over half of Epsom Derby field,Spanish police smash drug ring smuggling cocaine-infused plastic,Champions League final: Wenger says 'fear factor' avoidance key for Tottenham and Liverpool,When Tia met Shane: How CrossFit's power couple met as teenagers,Children 'whitening skin to avoid racism' as hate crimes against minors rise,NBA Finals preview: Can Kawhi Leonard and the Raptors dethrone the Warriors?,"Julian Assange too ill to appear via video link at court hearing, lawyer says"
2019-05-31,The UEFA Champions League Final will have fans on edge this weekend. But don't forget about the NHL and NBA,Champions League final: Thousands flock to Madrid -- but can they get a ticket?,Roger Federer achieves more milestones at French Open,Paris court finds Ian Bailey guilty of murdering French TV producer in 1996,"Julian Assange shows symptoms of psychological torture, UN expert says",Pascal Siakam after leading the Toronto Raptors to Game 1 win in the NBA Finals: 'I'm just doing it for my dad',"Capsized Budapest tourist boat to be lifted from the water, Hungarian foreign minister says","Naomi Osaka can emulate Serena Williams, says Pat Cash",Kei Nishikori to channel Michael Chang at French Open,South Korean victims of Budapest boat crash weren't wearing life jackets: authorities
2019-06-01,Liverpool beat Tottenham Hotspur in Champions League final to win sixth European Cup,"Double trouble at French Open for Serena Williams, Naomi Osaka as record-breaking bids end","Epsom Derby 2019: Anthony Van Dyck wins, tying record for O'Brien",Jose Antonio Reyes: Former Arsenal and Real Madrid star dies in traffic accident,Rogue Mont Blanc climbers could face two years in prison,Britain braces as Donald Trump marches into political mayhem,Trump's UK state visit schedule starts with welcome from the Queen,,,
2019-06-02,French Open: Wawrinka to meet Federer after epic battle with Tsitsipas,Footballer Neymar denies rape allegations,Paris Sevens: Fiji crowned World Rugby Sevens champs for fourth time,Thousands flock to streets to celebrate Champions League victory in Liverpool,"Champions League final: 'We will be there' next year, says victorious Klopp","From Assad to Xi, the Queen has met her fair share of controversial leaders",,,,
2019-06-03,"French Open: Home drought continues as Monfils, Paire exit",Caster Semenya: Olympic champion cleared to compete,The Queen will personally inspect every detail of Trump's lavish state banquet,Man carrying 2 knives Tasered and detained at London's Gatwick Airport,What next for once 'invincible' star Anthony Joshua after shock defeat by Andy Ruiz Jr?,Jose Antonio Reyes: Funeral of former Arsenal and Spain star held in Utrera,MVP chants broke out during Game 2 of the NBA Finals -- for Barack Obama,"It's all in the name: Jeongeun Lee6, known as 'Six,' wins US Women's Open at -6",Women's World Cup: 'It's way more than football' -- Jamaica's remarkable journey to France 2019,
2019-06-04,"Federer, Nadal to meet at French Open for first time since 2011",London's mayor compared President Trump to an 11-year-old child,Kawhi Leonard sues Nike over his personal logo,Angela Merkel's best laid plans are falling apart in Germany,Women's World Cup: Japan's remarkable 2011 Women's World Cup win in the aftermath of disaster,"Daniel Deusser  wins LGCT  Hamburg, takes first place on tour",Boris Johnson is the best-known candidate to be British prime minister. That's not necessarily a good thing,Chinese warships arrive in Sydney Harbor on Australian stopover,,
2019-06-05,Britain's mixed-race GI babies want to know why they were given away,Men are suing women who accused them of harassment. Will it stop others from speaking out?,Far-right populists suffer big losses in Denmark's election,"French Open: Djokovic, Halep ready for action in Paris",Tornado leaves trail of destruction in German town,Gianluigi Buffon leaves Paris Saint-Germain after one season,Gianni Infantino reelected unopposed as FIFA president,"A D-Day vet's song about Normandy is No. 1 on Amazon's singles chart, ahead of Ed Sheeran and Justin Bieber",Queen says her wartime generation was 'resilient' as she pays tribute to D-Day veterans,Protests against 'Czech Trump' are Prague's 'biggest since fall of Communism'
2019-06-06,Alleged Neymar rape: Brazilian woman says she was left 'traumatized' by soccer star,Simona Halep crashes out to teen Amanda Anisimova at French Open,"Who is Amanda Anisimova, the 17-year-old who stunned French Open champion Simona Halep?",Suspect in Lyra McKee murder arrested in Northern Ireland,'An inspiration for all fat people': Tyson Fury praises Andy Ruiz Jr.,Israel Folau fights 'unlawful termination' of Australia rugby contract,What happened during the Normandy landings?,"With a lawsuit in US federal court, the 'claims remain' against Cristiano Ronaldo, accuser's attorney says",Can Roger Federer upset Rafael Nadal at the French Open?,German nurse who killed at least 85 patients jailed for life
2019-06-07,France storms to win in Women's World Cup opener against South Korea,Eden Hazard: Real Madrid and Chelsea agree Belgian international's transfer,Investigative journalist Ivan Golunov arrested in Russia on drug charges,Brazilian footballer Neymar facing two police investigations,MS Dhoni asked to remove military insignia from wicketkeeping gloves,The FIFA Women's World Cup kicks off a big sports weekend featuring the Belmont Stakes and NHL Stanley Cup Final,Extinct volcano has woken up and scientists say it could erupt 'at any moment',Nadal beats Federer to reach 12th French Open final,Theresa May's days are ending but the Brexit fantasy lives on,"Boris Johnson, favorite to be Britain's next PM, wins court challenge over alleged Brexit lies"
2019-06-08,Disgruntled Novak Djokovic exits French Open to end grand slam winning streak,FIFA  bans ex-Afghanistan Football Federation president for life over abuse allegations,Ashleigh Barty beats Marketa Vondrousova to win French Open,Meghan at Trooping the Colour in first royal engagement since giving birth,Alleged Neymar rape: Lawyer launches impassioned defense of accuser,Hapless drug dealer leaves stash with name and address,Turkish President Erdogan attends wedding of Arsenal star Mesut Ozil,Russian journalist Ivan Golunov charged with attempted drug dealing,Lesbian couple viciously beaten in homophobic attack on London bus,Duchess Meghan making her first public appearance since the birth of baby Archie
2019-06-09,England v Scotland: Women's World Cup set to host one of the biggest rivalries in sport,Germany wants access to citizens' data. That's sparked fears of a sinister past,Russian journalist Ivan Golunov put under house arrest,"Michael Gove, British PM hopeful: 'I deeply regret' taking cocaine",Giulia Gwinn: Germany teenager scores brilliant winner on Women's World Cup debut,Australia: From nude calendars to Women's World Cup contenders,UK village considers the unfathomable: tearing itself down before nature does,The week that finally laid bare the Brexit myths,Sir Winston wins Belmont Stakes to give trainer second Triple Crown race win this season,
2019-06-10,Draw secures Argentina its first point in Women's World Cup history,NBA star Tony Parker announces retirement after 18 seasons,"Women's World Cup: Christiane Endler, the Chile keeper who is opening doors for other women",San Antonio Spurs point guard Dejounte Murray surprised his brother with a car for graduation,Why David Ortiz is beloved beyond baseball (and how he got the nickname Big Papi),Man admits killing 6-year-old great-grandson with air rifle,Rafael Nadal: Will Spanish star surpass great rival Roger Federer?,Theater cancels shows after actors targeted in homophobic assault,England vs. Scotland breaks UK TV viewing record for women's game,"Greenpeace activists scale 27,000-ton oil rig bound for North Sea"
2019-06-11,UK plans to become first G7 economy with net zero carbon emissions by 2050,"The US Women's National Team scored more World Cup goals in one day than the men did in the 2006, 2010 and 2014 World Cups combined","In a rare reversal, Russia has dropped charges against a journalist after protests","John Gosden: A trainer to rulers, royals and billionaires",Electric scooter rider killed in Paris amid 'anarchy' claims,"Oxfam had 'culture of tolerating poor behavior' in Haiti sex abuse scandal, report finds",The British government is facing a court challenge over its use of child spies,Huawei executive labeled a 'moral vacuum' in heated UK hearing,A TV presenter summed up live on air what a lot of people think about British politics,A Russian journalist was arrested on drug charges. The backlash has blindsided the Kremlin
2019-06-12,France beats Norway at Women's World Cup after VAR controversy,US being cast as 'disgraceful' villains over Thailand thrashing is PR gold for the Women's World Cup,Kevin Durant of the Golden State Warriors ruptured his right Achilles tendon,Lindsay Gottlieb just became the first women's college head coach to join an NBA team,"Lovesick fish have pessimistic outlook on life, study shows","Sex, drugs and soccer: Diego Maradona film shines light on Napoli years","Earning $127 million, Lionel Messi tops Forbes list of highest paid athletes",Stockholm welcomes Global Champions Tour for first time,"Migrant rescue ship captains could face $57,000 fines in Italian crackdown",US defends itself after humiliating Thailand at Women's World Cup
2019-06-13,Australia beats Brazil after brilliant Women's World Cup comeback,Sam Kerr: Australia's million dollar player at the Women's World Cup,Cristiane: Brazil striker makes Women's World Cup history in win over Jamaica,"Mass killing of chicks lawful, says German court",Horror crash puts Chris Froome in 'intensive care',Russian poker player dies from electrocution in bathroom,Jordan Binnington was the Stanley Cup's unlikely hero,Roman Abramovich donates $5m to Jewish Agency to fight anti-Semitism,"St. Louis Blues win first Stanley Cup title, defeating Boston Bruins",World Rugby goes to the UK: Show times of latest episode
2019-06-14,"The US Open, Women's World Cup and greatest rivalry in sports promise another action-packed weekend","Italy ends nearly 30-year drought at World Cup, joins England in round of 16",Jordan Spieth called out his caddie on National TV at the US Open,An MLB player known as the 'Japanese Babe Ruth' made baseball history last night,Steph Curry FaceTimed Raptors superfan Drake after NBA Finals loss,Scotland performance against Japan at World Cup leaves Hope Solo unimpressed,"Salvini has been 'following' Trump's immigration policies, but he will not separate children",The power behind Marc Marquez's MotoGP throne,Tiger Woods forced to 'fight' in US Open at Pebble Beach,Toronto Raptors' Jeremy Lin is now the first Asian American to be crowned an NBA champ
